,maxAge,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,profitMargins,financialCurrency,Ticker,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,numberOfAnalystOpinions,earningsGrowth
0,86400,99.85,none,5213000192.0,9.438,7785999872,16917000192.0,0.651,1.047,32746999808,357.578,59.19,0.07667,-0.78181,15000000000.0,8619750400.0,6616000000.0,-0.036,0.44074002,0.23775999,0.20873,-0.22594,USD,MMM,,,,,,,
0,86400,76.74,hold,341800000.0,2.298,808099968,165000000.0,1.038,1.68,3800800000,8.765,25.182,0.14191,0.16484,1329600000.0,455337504.0,615699968.0,0.072,0.38507998,0.21260999,0.19339001,0.07872,USD,AOS,87.0,64.0,76.56,76.0,2.8,9.0,0.268
0,86400,104.88,buy,7047000064.0,4.059,9870999552,15699000320.0,1.039,1.738,39958999040,41.649,22.951,0.05723,0.14031,24579000000.0,4627250176.0,6549000192.0,-0.026,0.55172,0.24702999,0.17441,0.12918,USD,ABT,133.0,100.0,116.1,115.5,2.0,20.0,0.012
0,86400,143.41,buy,13290000384.0,7.527,27992999936,61182001152.0,0.71,0.955,55138000896,504.427,31.173,0.086540006,0.46321,41527000000.0,24065499136.0,25514000384.0,-0.06,0.69921,0.50769,0.17757,0.118140005,USD,ABBV,205.0,135.0,169.72,170.0,2.3,25.0,-0.548
0,86400,338.06,buy,9049607168.0,14.419,11200529408,3149033984.0,1.181,1.298,64111742976,11.902,101.667,0.1285,0.28465998,20731607000.0,8889172992.0,9524268032.0,0.036,0.32337,0.17469999,0.16504999,0.10718001,USD,ACN,410.0,280.0,340.0,341.0,2.1,21.0,-0.173
0,86400,75.08,buy,1498000000.0,2.808,5088000000,9500000256.0,0.438,1.686,96896000000,37.137,177.141,0.04543,0.15824,7570000000.0,2261625088.0,2020999936.0,-0.121,0.07776,0.05251,0.04605,0.04063,USD,ADM,116.0,75.0,92.23,90.0,2.1,13.0,-0.169
0,86400,612.47,buy,7516000256.0,16.508,7039000064,4096000000.0,1.124,1.249,18886000640,25.963,41.106,0.14355,0.33971,15441000000.0,7317875200.0,8030000128.0,0.103,0.87885004,0.37271,0.34702998,0.27115,USD,ADBE,642.67,392.95,566.04,573.81,1.9,28.0,0.26
0,86400,232.94,hold,1456300032.0,3.541,5207000064,3766200064.0,0.11,0.982,18308999168,108.449,44.334,0.060760003,1.15465,8510000000.0,3544699904.0,3816000000.0,0.07,0.47501,0.28440002,0.24936001,0.19075,USD,ADP,280.0,217.0,247.69,250.0,3.1,16.0,0.112
0,86400,18.13,buy,2303000064.0,3.439,3411000064,27391000576.0,0.461,0.83,12760000512,410.106,19.08,0.03586,-0.0787,2548000000.0,-3795500032.0,3375000064.0,-0.053,0.20165001,0.26732,0.24811001,-0.04389,USD,AES,26.0,17.0,21.45,22.5,2.2,10.0,-0.458
0,86400,128.79,buy,1590000000.0,5.443,1620999936,2735000064.0,1.797,2.611,6832999936,46.792,23.241,0.079239994,0.22242,3722000000.0,827374976.0,1772000000.0,-0.087,0.5071,0.23723,0.24170999,0.18146999,USD,A,150.0,100.0,129.75,130.0,2.4,16.0,0.308
0,86400,135.02,hold,10961999872.0,17.149,2264900096,2308999936.0,1.137,1.784,9601000448,25.31,15.09,0.07502,0.74472,6900000000.0,2876497408.0,4284000000.0,0.178,0.82668,0.2359,0.44039002,0.56869,USD,ABNB,169.85,68.86,123.05,123.94,2.7,29.0,2.71
0,86400,272.64,buy,1962200064.0,8.83,4010800128,11118600192.0,1.059,1.335,12600000512,70.999,56.68,0.056009997,0.15878999,3360100000.0,-1844525056.0,3206299904.0,-0.106,0.29896998,0.31832,0.22442,0.18256001,USD,APD,355.0,240.0,308.24,305.0,2.3,21.0,0.19
0,86400,116.03,buy,939262016.0,6.227,1092600064,4502085120.0,2.039,2.304,3744681984,104.114,24.309,0.04917,0.12042,2237817000.0,530337632.0,1300743936.0,0.095,0.60707,0.29177,0.18827,0.13758999,USD,AKAM,145.0,78.0,115.06,116.0,2.5,17.0,0.334
0,86400,39.73,buy,2451000064.0,19.141,885000000,4127000064.0,0.55,0.718,10352000000,100.831,81.283,0.01894,0.065409996,2357000000.0,-1488125056.0,1112000000.0,0.004,0.24488,0.085489996,0.11553001,0.025020001,USD,ALK,70.0,39.0,51.08,51.0,1.9,12.0,2.484
0,86400,126.16,buy,1601667968.0,13.648,2610968064,3808100096.0,0.84,1.808,9882015744,37.472,84.268,0.08558,0.40118998,3077787000.0,-1245787392.0,2375787008.0,0.105,0.29258,0.26421,-0.05545,0.33633,USD,ALB,327.43,90.0,191.89,177.5,2.1,26.0,-0.662
0,86400,118.14,buy,532390016.0,3.064,1685917952,11587792896.0,2.162,2.327,2799553024,51.019,16.517,0.01235,0.01906,1806454000.0,1735064960.0,1603096064.0,0.082,0.69966006,0.60221,0.25347,0.08801,USD,ARE,186.0,108.0,132.92,124.5,1.6,12.0,-0.939
0,86400,108.69,buy,364300000.0,4.15,822600000,2160499968.0,1.237,2.032,3614899968,175.451,41.113,0.1112,0.55052,1322400000.0,400924992.0,573500032.0,0.005,0.42791998,0.22756,0.20994,0.15411,USD,ALLE,137.0,95.0,118.55,120.0,2.5,11.0,0.362
0,86400,51.49,buy,206000000.0,0.807,1564999936,9338999808.0,0.358,0.709,4124000000,138.849,16.373,0.02712,0.106070004,1709000000.0,-1000374976.0,623000000.0,-0.051,0.41392,0.37949002,0.29898,0.16707,USD,LNT,59.0,46.0,52.39,53.0,2.3,9.0,0.133
0,86400,131.86,buy,119935000576.0,9.583,96071000064,29446000640.0,1.865,2.043,297131999232,10.778,23.337,0.13492,0.25334,156633000000.0,71757127680.0,106444996608.0,0.11,0.56122,0.32333001,0.27962,0.22459,USD,GOOGL,180.0,127.86,151.71,152.0,1.9,43.0,0.46
0,86400,133.32,buy,119935000576.0,9.583,96071000064,29446000640.0,1.865,2.043,297131999232,10.778,23.337,0.13492,0.25334,156633000000.0,71757127680.0,106444996608.0,0.11,0.56122,0.32333001,0.27962,0.22459,USD,GOOG,146.9,119.35,134.13,135.42,1.7,10.0,0.46
0,86400,42.6,hold,1536999936.0,0.869,12526000128,25098000384.0,0.154,0.327,20561000448,,11.532,0.21778,,14183000000.0,12060999680.0,8679000064.0,-0.025,0.69437,0.60921,0.59314,0.42605,USD,MO,64.27,33.97,42.7,40.86,2.7,14.0,8.922
0,86400,147.03,buy,64169000960.0,6.209,73978003456,166064996352.0,0.701,0.985,554027974656,90.759,53.946,0.03612,0.12531,225152000000.0,36392374272.0,71653998592.0,0.126,0.46243998,0.13352999,0.07819,0.03624,USD,AMZN,211.16,117.52,158.78,160.67,1.7,48.0,2.357
0,86400,9.56,hold,537000000.0,0.372,1914000000,7664999936.0,0.601,1.27,14424999936,193.365,9.885,0.0496,0.24635,2725000000.0,873124992.0,1386000000.0,-0.072,0.18731001,0.13269,0.086840004,0.06711,USD,AMCR,10.0,8.5,9.37,9.3,3.2,7.0,-0.323
0,86400,121.39,buy,5784999936.0,3.581,3046000128,2862000128.0,1.421,2.188,22111000576,5.206,13.697,-0.00083,0.0038,12051000000.0,2758500096.0,1852999936.0,0.042,0.50319,0.13776,0.03862,0.0094099995,USD,AMD,183.62,55.09,119.75,119.35,2.0,40.0,3.5
0,86400,78.97,buy,8000000.0,0.03,3163000064,16017999872.0,0.256,0.519,7639000064,143.376,29.198,0.029560002,0.10808,3343000000.0,-750499968.0,2695000064.0,-0.112,0.45032,0.41406,0.35377997,0.15145999,USD,AEE,89.0,75.0,83.0,84.5,2.2,12.0,0.075
0,86400,13.02,hold,10581999616.0,16.192,7138999808,41204998144.0,0.517,0.685,52913999872,,81.074,0.04601,,11443000000.0,2733250048.0,4995999744.0,0.001,0.27462998,0.13492,0.055040002,0.030350002,USD,AAL,20.0,8.0,14.32,13.5,2.9,14.0,
0,86400,80.51,buy,564300032.0,1.073,6990000128,42851799040.0,0.292,0.597,19286200320,169.043,37.386,0.02644,0.090579994,8414100000.0,-2949087488.0,4230500096.0,-0.033,0.43164003,0.36244,0.26368,0.11699,USD,AEP,99.0,74.5,86.83,87.0,2.3,15.0,0.376
0,86400,210.47,buy,2118899968.0,4.545,6688999936,46816198656.0,0.461,0.56,11062500352,416.718,23.744,0.0336,0.054109998,7447300000.0,4745762304.0,4765499904.0,0.055,0.70584,0.60466,0.34939,0.0646,USD,AMT,259.0,169.0,209.94,210.0,2.0,17.0,-0.301
0,86400,133.24,buy,700000000.0,3.595,2198000128,12270000128.0,0.834,1.035,4132999936,123.977,21.81,0.03317,0.10422,2203000000.0,-1272875008.0,1691000064.0,0.079,0.59327,0.53182,0.41731,0.2226,USD,AWK,169.0,126.0,147.6,141.5,2.5,10.0,0.016
0,86400,157.05,buy,841900992.0,3.648,1977280000,2330002944.0,1.146,1.863,6491731968,27.929,28.193,0.08172,0.16509001,2145269000.0,1120772608.0,1579654016.0,0.046,0.35914,0.30458,0.26428,0.19677,USD,AME,195.0,154.0,172.15,171.0,2.5,13.0,0.14
0,86400,272.45,buy,34740998144.0,64.915,13301000192,60467998720.0,2.412,2.859,26833000448,789.812,50.155,0.07861,1.3380499,19917000000.0,8904750080.0,10581999616.0,0.038,0.73726,0.4957,0.38939998,0.28197,USD,AMGN,336.0,185.0,277.83,290.0,2.5,23.0,-0.191
0,86400,92.28,buy,1734000000.0,2.898,2961700096,4292000000.0,1.48,2.329,12466400256,54.067,20.928,0.10379,0.26563,4028200000.0,1585549952.0,2392199936.0,-0.029,0.32256,0.23757,0.20846,0.1541,USD,APH,103.0,75.0,94.36,97.0,2.2,11.0,0.038
