,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,fromCurrency,toCurrency,lastMarket,coinMarketCapLink,algorithm,tradeable,Ticker,trailingPE
0,1,2,99.07,98.84,98.16,100.21,99.07,98.84,98.16,100.21,6.0,0.060100004,2023-11-16 01:00:00,0.6167,4.01,0.98,11.106786,2769316,2769316,3568709,3608880,3608880,99.84,99.76,1000,800,55148851200,85.35,130.02,1.6840887,92.2072,100.4837,5.99,0.060462296,USD,,,,,,False,MMM,
0,1,2,75.36,75.47,75.19,76.85,75.36,75.47,75.19,76.85,1.28,0.0167,2023-10-30 01:00:00,0.597,1.78,1.252,19.137156,672525,672525,999877,641250,641250,76.41,77.31,800,800,11412772864,55.41,76.98,3.0027292,70.4466,69.59055,1.2,0.015923567,USD,,,,,,False,AOS,38.179104
0,1,2,104.29,104.22,103.9,104.98,104.29,104.22,103.9,104.98,2.04,0.0195,2023-10-12 02:00:00,0.6803,1.57,0.68,22.701298,4649903,4649903,5897287,6377450,6377450,104.67,104.97,900,900,182077964288,89.67,115.83,4.5566196,96.7412,102.91045,2.04,0.01956084,USD,,,,,,False,ABT,35.67347
0,1,2,142.39,142.54,142.2801,144.1,142.39,142.54,142.2801,144.1,6.2,0.0432,2024-01-12 01:00:00,1.6027,4.5,0.477,12.873429,4658045,4658045,4903798,4765080,4765080,143.41,143.42,800,800,253196091392,130.96,168.11,4.5920434,144.3008,147.0854,5.92,0.041575953,USD,,,,,,False,ABBV,39.18306
0,1,2,333.14,333.8,333.16,338.5,333.14,333.8,333.16,338.5,5.16,0.0153,2023-10-11 02:00:00,0.41599998,1.37,1.219,25.37988,1672673,1672673,1936952,1697050,1697050,339.0,339.45,800,800,212342243328,242.8,338.5,3.3120646,312.8902,299.38504,4.65,0.013958096,USD,,,,,,False,ACN,31.359926
0,1,2,73.73,73.76,73.72,75.29,73.73,73.76,73.72,75.29,1.8,0.024,2023-11-14 01:00:00,0.24340001,2.63,0.836,11.410335,2720649,2720649,2881336,2959380,2959380,74.02,75.3,800,1200,40046243840,69.31,96.16,0.41329098,73.49,77.3082,1.75,0.02373525,USD,,,,,,False,ADM,10.442281
0,1,2,611.01,609.24,603.18,615.2,611.01,609.24,603.18,615.2,,,2005-03-24 01:00:00,0.0,0.12,1.324,37.09691,2406857,2406857,2728977,2247890,2247890,608.2,613.38,900,800,278857580544,318.6,628.6,14.765306,558.4936,468.9018,0.0,0.0,USD,,,,,,False,ADBE,54.97935
0,1,2,229.92,229.64,229.23,233.31,229.92,229.64,229.23,233.31,5.6,0.024,2023-12-07 01:00:00,0.5938,1.98,0.839,23.294,1448126,1448126,1589280,1688750,1688750,232.94,233.61,900,900,95809388544,201.46,274.92,5.2329125,233.9212,228.87115,5.0,0.021746695,USD,,,,,,False,ADP,27.697979
0,1,2,17.21,17.13,17.13,18.14,17.21,17.13,17.13,18.14,0.66,0.0366,2023-10-31 01:00:00,0.7626,2.97,1.053,9.542105,5187318,5187318,8687195,5006180,5006180,17.75,18.55,4000,1400,12140372992,11.43,29.89,0.95143986,15.2406,19.88275,0.664,0.03858222,USD,,,,,,False,AES,
0,1,2,127.8,127.34,126.51,129.01,127.8,127.34,126.51,129.01,0.94,0.0073,2023-12-29 01:00:00,0.2148,0.69,1.041,21.287601,1715286,1715286,2124320,2633790,2633790,128.8,128.84,800,1000,37622521856,96.8,160.26,5.5060034,112.0662,123.37985,0.9,0.0070422534,USD,,,,,,False,A,30.737469
