symbol,asOfDate,periodType,EnterpriseValue,EnterprisesValueEBITDARatio,EnterprisesValueRevenueRatio,ForwardPeRatio,MarketCap,PbRatio,PeRatio,PegRatio,PsRatio,Ticker
MMM,2022-09-02,TTM,83424317841.0,,,11.1607,69292317841.0,5.042375,16.990223,1.9045,2.005829,MMM
MMM,2022-09-05,TTM,,11.328669,2.377777,,,,,,,MMM
MMM,2022-09-30,3M,75210092107.0,16.043108,8.726081,10.142,61078092107.0,4.444629,15.432961,1.73,1.821982,MMM
MMM,2022-12-31,3M,79211930366.0,87.720853,9.80467,11.3379,66284930366.0,4.677946,10.464223,2.2009,1.981619,MMM
MMM,2023-03-31,3M,70948266728.0,57.170239,8.8343,12.1359,57986266728.0,3.938749,10.325147,4.057,1.742979,MMM
MMM,2023-06-30,3M,68129922318.0,-7.605484,8.183774,11.7786,55248922318.0,3.599044,10.339876,6.2303,1.683037,MMM
MMM,2023-09-30,3M,64164531296.0,-23.852986,7.719506,9.7656,51677531296.0,6.581128,,3.5891,1.578602,MMM
AOS,2022-09-30,3M,7520761703.0,45.497651,8.603022,12.8866,7658761703.0,4.27267,14.947692,1.2879,2.003448,AOS
AOS,2022-12-31,3M,8639071165.0,-39.429809,9.228791,17.6056,8744871165.0,4.951076,18.229299,1.7612,2.364727,AOS
AOS,2023-03-31,3M,10339133312.0,53.157498,10.698606,20.6186,10454033312.0,5.981595,45.794702,,2.869587,AOS
AOS,2023-06-30,3M,10872713368.0,46.804621,11.316313,21.9298,11002813368.0,6.146136,45.773585,2.1922,2.998148,AOS
AOS,2023-09-30,3M,9774241393.0,49.315042,10.425857,17.6367,9951941393.0,5.298716,36.335165,1.7644,2.705432,AOS
ABT,2022-09-30,3M,176178198662.0,75.225533,16.923938,20.5339,168708198662.0,4.623409,20.200418,15.3359,3.776626,ABT
ABT,2022-12-31,3M,197933964976.0,105.172139,19.614901,24.8139,191426964976.0,5.348073,24.783296,18.5159,4.31901,ABT
ABT,2023-03-30,TTM,,,,22.4215,,4.693772,25.340153,39.3758,4.003783,ABT
ABT,2023-03-31,3M,183631752866.0,87.235987,18.839823,22.9358,176085752866.0,4.799808,25.897698,40.2422,4.091875,ABT
ABT,2023-03-31,TTM,183530435553.0,,,,175984435553.0,,,,,ABT
ABT,2023-04-01,TTM,,17.162001,4.204303,,,,,,,ABT
ABT,2023-06-30,3M,196556726979.0,89.547484,19.699011,24.7525,189188726979.0,5.111827,33.136778,22.5248,4.618459,ABT
ABT,2023-09-30,3M,176760420363.0,79.052066,17.426838,20.9644,168069420363.0,4.521155,33.054608,36.1826,4.22423,ABT
ABBV,2022-09-08,TTM,311423919477.0,,,,248452919477.0,,,,,ABBV
ABBV,2022-09-09,TTM,,,,12.1212,,17.06437,20.002829,,4.383233,ABBV
ABBV,2022-09-12,TTM,,12.679095,5.430329,,,,,,,ABBV
ABBV,2022-09-30,3M,300308087607.0,61.324911,20.274648,11.5075,237337087607.0,16.197167,18.983027,,4.159763,ABBV
ABBV,2022-12-31,3M,343531134897.0,59.796542,22.718811,14.0252,285804134897.0,17.876541,21.548,,4.968993,ABBV
ABBV,2023-03-31,3M,335165738255.0,114.861459,27.41642,14.4928,281123738255.0,16.29325,24.037707,,4.88097,ABBV
ABBV,2023-06-30,3M,293142363746.0,61.160518,21.142615,12.2549,237771363746.0,17.912563,31.701176,10.2068,4.220627,ABBV
ABBV,2023-09-30,3M,315346858120.0,134.133074,22.642842,13.6054,263097858120.0,20.45417,30.670782,5.9159,4.725391,ABBV
ACN,2022-11-30,3M,184850616879.0,59.339673,11.738185,26.455,189418666879.0,8.568616,28.098039,3.0722,3.140706,ACN
ACN,2023-02-28,3M,165028435269.0,66.249448,10.435487,23.1481,167632186269.0,7.29641,24.118983,2.7586,2.730131,ACN
ACN,2023-03-07,TTM,163773594516.0,,,23.0415,166377345516.0,7.241792,23.996367,2.7445,2.716252,ACN
ACN,2023-03-08,TTM,,15.871543,2.625547,,,,,,,ACN
ACN,2023-05-31,3M,189940363932.0,58.5515,11.466654,24.6305,192974838932.0,8.120942,28.169429,3.0002,3.099213,ACN
ACN,2023-08-31,3M,197969691967.0,75.624135,12.384561,25.974,203413406967.0,8.029763,28.856506,3.013,3.254876,ACN
ADM,2022-09-02,TTM,60742799060.0,,,14.4718,49110799060.0,2.013315,13.818612,,0.526882,ADM
ADM,2022-09-05,TTM,,10.518234,0.643707,,,,,,,ADM
ADM,2022-09-16,TTM,59150804204.0,,,14.0056,47518804204.0,1.948051,13.370662,,0.509802,ADM
ADM,2022-09-17,TTM,,10.242563,0.626837,,,,,,,ADM
ADM,2022-09-30,3M,55799050000.0,35.160082,2.260627,13.2979,44167050000.0,1.810644,12.689274,,0.483822,ADM
ADM,2022-12-31,3M,59648682976.0,44.282615,2.273977,14.5138,51005682976.0,2.116471,12.806897,16.4862,0.532415,ADM
ADM,2023-03-31,3M,52665700000.0,29.210039,2.187841,11.8064,43414700000.0,1.78779,10.332036,,0.441614,ADM
ADM,2023-06-30,3M,51151160000.0,32.49756,2.030614,11.3636,40500160000.0,1.607341,9.480552,,0.414003,ADM
ADM,2023-09-30,3M,48831785915.0,33.746915,2.250831,11.2613,40432785915.0,1.615604,10.056,,0.417935,ADM
ADBE,2022-04-06,TTM,,32.185864,,,,,,,,ADBE
ADBE,2022-11-30,3M,159234957000.0,90.474407,35.190046,22.5734,160357957000.0,11.156888,34.016765,1.7063,9.53067,ADBE
ADBE,2023-02-28,3M,147092605465.0,79.854835,31.598841,21.097,148555605465.0,10.5726,32.074257,1.4056,8.666389,ADBE
ADBE,2023-03-07,TTM,156653909290.0,,,22.4215,158116909290.0,11.253072,34.138614,1.496,9.224174,ADBE
ADBE,2023-03-08,TTM,,22.456122,8.897757,,,,,,,ADBE
ADBE,2023-05-31,3M,190113273000.0,100.270714,39.475347,26.9542,191640273000.0,13.490094,41.161576,1.7988,10.845735,ADBE
ADBE,2023-08-31,3M,252459172000.0,126.991535,51.627643,31.6456,254947172000.0,17.182044,53.321258,2.1084,14.067724,ADBE
ADP,2022-09-02,TTM,101150590344.0,,,29.4118,99092490344.0,30.723496,34.068571,2.8254,6.258307,ADP
ADP,2022-09-05,TTM,,22.983025,6.303592,,,,,,,ADP
ADP,2022-09-30,3M,95835788000.0,80.110163,23.520294,27.8552,93914088000.0,29.117939,32.312857,2.6798,5.935787,ADP
ADP,2022-12-31,3M,101214160903.0,80.848439,24.076826,29.3255,99085760903.0,38.417847,33.083102,2.7065,6.111807,ADP
ADP,2023-03-31,3M,94034705000.0,61.089265,20.099757,24.9377,92057505000.0,30.822481,29.605053,2.3426,5.58037,ADP
ADP,2023-06-30,3M,92067759000.0,73.489591,21.703345,24.9377,90575459000.0,24.520943,28.106138,2.3297,5.401559,ADP
ADP,2023-09-30,3M,100352927609.0,75.686649,23.279961,26.3158,99112227609.0,28.225695,29.303289,2.7278,5.814889,ADP
AES,2022-09-30,3M,35639664982.0,30.750358,9.82621,12.9199,15095664982.0,6.998454,,1.5924,1.284441,AES
AES,2022-12-31,3M,40029235615.0,-120.207915,13.08145,16.4474,19210235615.0,7.480771,,2.0922,1.571336,AES
AES,2023-03-31,3M,38349604041.0,44.181571,11.839952,14.1443,16117604041.0,10.079802,,1.8369,1.274902,AES
AES,2023-06-30,3M,37282365892.0,63.083529,12.316606,12.1655,13876365892.0,9.105227,,1.6144,1.072194,AES
AES,2023-09-30,3M,35524361332.0,34.624134,10.344893,7.7942,10178361332.0,6.153786,,1.0649,0.809697,AES
A,2022-10-31,3M,42648250000.0,77.401543,23.065576,24.9377,40813250000.0,8.016745,31.586758,2.2633,6.284859,A
A,2023-01-31,3M,46731680000.0,93.090996,26.612574,26.5957,45015680000.0,8.485519,36.382775,2.9401,6.662383,A
A,2023-04-30,3M,41767901951.0,88.491318,24.326093,23.753,40046901951.0,7.122812,30.502252,2.6499,5.833457,A
A,2023-07-31,3M,37205802190.0,163.902212,22.252274,19.8807,35647802190.0,6.166373,26.821586,2.3761,5.14582,A
A,2023-10-31,3M,31704746410.0,62.906243,18.782433,18.0505,30244746410.0,5.44166,27.060209,2.4204,4.378519,A
ABNB,2022-02-16,TTM,,,18.179096,,,,,,,ABNB
ABNB,2022-09-30,3M,58983607840.0,45.780651,20.449107,36.3636,66497777840.0,12.678258,52.258706,,9.31608,ABNB
ABNB,2022-12-31,3M,46870247146.0,134.298702,24.642612,27.933,54136649146.0,9.738118,35.477178,,7.128871,ABNB
ABNB,2023-03-31,3M,71091000000.0,490.282759,39.10396,34.6021,78372000000.0,14.095683,44.587814,1.7343,10.071675,ABNB
ABNB,2023-06-30,3M,72995440000.0,106.25246,29.386248,35.5872,81253440000.0,15.356916,42.72,1.7632,10.136679,ABNB
